mode_index,alpha,Mach,accepted,gep_cr,gep_ci,gep_omega_i,distance_to_shooting,selection_source,N
205,0.26,1.775,False,0.4677886152679537,0.008477013760953125,0.002204023577847813,0.027548996280148595,target_then_overlap,561
206,0.27,1.775,False,0.5681737571979003,0.010564115922080385,0.002852311298961704,0.19447950278615367,target_then_overlap,561
207,0.28,1.775,False,0.6289635759608967,0.011201162964149178,0.00313632562996177,0.13441759977560816,target_then_overlap,561
208,0.29,1.775,False,0.6742658066226713,0.011696519669822507,0.003391990704248527,0.090315981845837,target_then_overlap,561
209,0.3,1.775,False,0.7023054988373268,0.008851156465791456,0.002655346939737437,0.061783983133434486,target_then_overlap,561
210,0.01,1.8,True,0.7576071398628869,0.004309688211524864,4.3096882115248646e-05,0.009080232704390125,nearest_to_target,561
211,0.02,1.8,True,0.7485815523235335,0.004632079179952861,9.264158359905722e-05,0.01541495197920454,target_then_overlap,561
212,0.03,1.8,False,0.7395010461241583,0.005079680992904915,0.00015239042978714744,0.024608062894368305,target_then_overlap,561
213,0.04,1.8,False,0.7395686198097398,0.00550131742945027,0.0002200526971780108,0.02484861128039275,target_then_overlap,561
214,0.05,1.8,False,0.7397001370880059,0.006138213403033126,0.0003069106701516563,0.0253754934663594,target_then_overlap,561
215,0.06,1.8,False,0.7400269705072258,0.007131955755569609,0.00042791734533417655,0.025755411902624453,target_then_overlap,561
216,0.07,1.8,False,0.7322674434696533,0.008501735426560086,0.0005951214798592061,0.033797148076970374,target_then_overlap,561
217,0.08,1.8,False,0.7338358418583248,0.008145455285568603,0.0006516364228454883,0.03208337397975128,target_then_overlap,561
218,0.09,1.8,False,0.7342434257730975,0.007952601600730315,0.0007157341440657283,0.03156019118919467,target_then_overlap,561
219,0.1,1.8,False,0.7343491385665734,0.008603486363498588,0.0008603486363498588,0.0321464227322043,target_then_overlap,561
220,0.11,1.8,False,0.7309264547139322,0.011051567736632045,0.001215672451029525,0.03771386028862515,target_then_overlap,561
221,0.12,1.8,False,0.7300379168766411,0.00788134146943294,0.0009457609763319528,0.03519243688555518,target_then_overlap,561
222,0.13,1.8,False,0.7300189286965372,0.0068809402165792115,0.0008945222281552975,0.034354850234325406,target_then_overlap,561
223,0.14,1.8,False,0.7300308119460913,0.006337857086008756,0.000887299992041226,0.03392902438881375,target_then_overlap,561
224,0.15,1.8,False,0.7300501704407486,0.006028848057357167,0.000904327208603575,0.033668414436035125,target_then_overlap,561
225,0.16,1.8,False,0.7300730788842037,0.005879799689604971,0.0009407679503367954,0.03355311218098174,target_then_overlap,561
226,0.17,1.8,False,0.6344860352604857,0.007325841677696639,0.0012453930852084287,0.16143159729830617,target_then_overlap,561
227,0.18,1.8,False,0.5656998383673204,0.00829829282721474,0.0014936927088986531,0.08929336927817781,target_then_overlap,561
228,0.19,1.8,False,0.5165713921737984,0.008668699388599007,0.0016470528838338115,0.037236592505736646,target_then_overlap,561
229,0.2,1.8,True,0.49703780737260334,0.008511041608704004,0.0017022083217408009,0.014967265851835828,target_then_overlap,561
