alpha,Mach,rank_cr,candidate_cr,candidate_ci,y,p_real,p_imag,p_abs,rho_real,rho_imag,rho_abs
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.173541117250549,0.24387026312284277,-0.0030190606094565716,0.243888950062458,0.39644159648907124,-0.00490786040324783,0.39647197444528326
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.1568155573846415,0.2417464627137425,-0.003033706148604821,0.2417654971405204,0.39298909344902766,-0.00493166855782573,0.39302003628905846
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.1402903809499594,0.23960552665976148,-0.003048930038005195,0.23962492437198246,0.38950873427627475,-0.004956416893032219,0.389540267682204
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.123961868849449,0.23753201229308155,-0.0030631734042072313,0.23755176255987845,0.3861379774839407,-0.004979571265214392,0.3861700840114024
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.1078263928542293,0.2354408461444181,-0.0030779999192586576,0.23546096516557155,0.38273852551351967,-0.005003673618744862,0.38277123149728226
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.0918804128421202,0.23341633793005728,-0.003091854362586715,0.2334368145260686,0.3794474343475494,-0.00502619574818003,0.3794807216139403
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.0761204741362316,0.2313736789009252,-0.00310629649189114,0.2313945296804658,0.37612683676331654,-0.00504967323463052,0.37616073231180724
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.060543204939434,0.2293969324985057,-0.003119774781502961,0.22941814582637374,0.37291338839288346,-0.005071583879180756,0.3729478733089989
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.045145313860697,0.22740155292933506,-0.0031338450438114446,0.22742314583048007,0.36966964948075026,-0.0050944568493459675,0.3697047514406741
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.0299235875294737,0.2254713588139949,-0.0031469594837493977,0.22549331919021814,0.36653187767200035,-0.005115776010770136,0.36656757700859827
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.014874888294502,0.22352206541345535,-0.003160669943520246,0.2235444107133723,0.3633630575877484,-0.005138064076935078,0.3633993826659259
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-1.9999961520035563,0.22163724808333787,-0.0031734323885165786,0.2216599657382441,0.36029905141547613,-0.005158811026582245,0.36033598180323306
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-1.9852843858608535,0.21973288111944597,-0.003186794671429311,0.21975598900901525,0.3572032648697994,-0.0051805330877422685,0.3572408296327805
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-1.9707366663589514,0.21789229826044615,-0.0031992165426071237,0.2179157833377512,0.3542111673596377,-0.005200726392075732,0.3542493452884317
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-1.9563501372821388,0.21603173071524476,-0.0032122418509536546,0.21605561129841788,0.35118658224396976,-0.005221900658956522,0.3512254031169906
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-1.9421220077784558,0.21423427233615241,-0.003224334151341109,0.21425853489212568,0.34826458896645773,-0.005241558204773893,0.34830403078401173
