benchmark_id,atlas_chart,Mach,alpha,shoot_stage1_mismatch,shoot_stage2_mismatch,stage1_fraction_of_nominal,stage2_fraction_of_nominal,critical_common_multiplier
16,C02,1.198,0.3057499999999999,1.7070404699301786e-06,1.3995108764044213e-20,3.414080939860357e-05,1.3995108764044213e-18,3.414080939860357e-05
17,C02,1.198,0.32125,2.1738781472149635e-06,1.4079925178741324e-20,4.3477562944299267e-05,1.4079925178741324e-18,4.3477562944299267e-05
18,C02,1.198,0.33675,0.0004866401923542,1.0038076067734292e-19,0.009732803847084,1.0038076067734292e-17,0.009732803847084
19,C02,1.198,0.3522499999999999,0.0046764371504402,7.435613265913316e-20,0.09352874300880398,7.435613265913316e-18,0.09352874300880398
20,C02,1.234,0.3522499999999999,0.0041565844219628,9.774524304543512e-20,0.083131688439256,9.774524304543512e-18,0.083131688439256
21,C10,1.234,0.05775,1.8432112509426161e-07,3.185644968355588e-21,3.686422501885232e-06,3.185644968355588e-19,3.686422501885232e-06
22,C10,1.234,0.07325,3.57076676518662e-07,4.490929007744751e-21,7.1415335303732404e-06,4.490929007744751e-19,7.1415335303732404e-06
23,C10,1.234,0.08875,1.4768539589061053e-07,5.1512724965967185e-21,2.9537079178122106e-06,5.1512724965967185e-19,2.9537079178122106e-06
24,C10,1.234,0.10425,3.892310887445886e-07,5.284718794787674e-21,7.78462177489177e-06,5.284718794787674e-19,7.78462177489177e-06
25,C10,1.27,0.05775,2.616271207969339e-07,3.103813523451666e-21,5.232542415938677e-06,3.103813523451666e-19,5.232542415938677e-06
26,C10,1.27,0.07325,2.034362697932783e-07,4.428176821940809e-21,4.068725395865566e-06,4.428176821940809e-19,4.068725395865566e-06
27,C10,1.27,0.08875,4.683964943389449e-07,5.3811009682178e-21,9.367929886778898e-06,5.381100968217801e-19,9.367929886778898e-06
28,C10,1.27,0.10425,9.873192608610084e-07,5.478288382263767e-21,1.9746385217220166e-05,5.478288382263767e-19,1.9746385217220166e-05
29,C10,1.306,0.05775,3.000796909304465e-07,2.9031992130460906e-21,6.001593818608929e-06,2.9031992130460906e-19,6.001593818608929e-06
30,C10,1.306,0.07325,2.878780234332264e-07,4.296367153551178e-21,5.757560468664528e-06,4.296367153551178e-19,5.757560468664528e-06
31,C10,1.306,0.08875,5.621626214495789e-07,5.373936501922146e-21,1.1243252428991576e-05,5.373936501922146e-19,1.1243252428991576e-05
32,C10,1.306,0.10425,7.667074967758058e-07,5.82532796313944e-21,1.5334149935516116e-05,5.82532796313944e-19,1.5334149935516116e-05
33,C10,1.342,0.05775,2.995513885838326e-07,2.6961730964231418e-21,5.991027771676652e-06,2.6961730964231417e-19,5.991027771676652e-06
34,C10,1.342,0.07325,6.894146464281662e-07,4.115281867149175e-21,1.3788292928563322e-05,4.115281867149175e-19,1.3788292928563322e-05
35,C10,1.342,0.08875,4.799785633677691e-07,5.276263891482244e-21,9.599571267355382e-06,5.276263891482244e-19,9.599571267355382e-06
36,C10,1.342,0.10425,6.54207046671675e-07,6.0570540879857606e-21,1.3084140933433498e-05,6.057054087985761e-19,1.3084140933433498e-05
37,C10,1.378,0.05775,1.552242525085144e-07,2.5021324964694048e-21,3.1044850501702878e-06,2.5021324964694046e-19,3.1044850501702878e-06
38,C10,1.378,0.07325,2.044805052657296e-07,3.903947273096392e-21,4.089610105314592e-06,3.903947273096392e-19,4.089610105314592e-06
39,C10,1.378,0.08875,6.729423793472152e-07,5.2054074070662476e-21,1.3458847586944302e-05,5.205407407066248e-19,1.3458847586944302e-05
40,C10,1.378,0.10425,2.509766413315644e-07,6.011104759369884e-21,5.019532826631288e-06,6.011104759369884e-19,5.019532826631288e-06
41,C10,1.414,0.05775,1.6303092729027681e-07,2.275423408059509e-21,3.260618545805536e-06,2.275423408059509e-19,3.260618545805536e-06
42,C11,1.234,0.11975,7.756243485879186e-07,4.4767742430195415e-21,1.5512486971758372e-05,4.476774243019541e-19,1.5512486971758372e-05
43,C11,1.234,0.13525,8.196364280716897e-07,3.237589310107286e-21,1.6392728561433793e-05,3.237589310107286e-19,1.6392728561433793e-05
44,C11,1.234,0.15075,7.766301357371662e-07,2.0641969970107608e-21,1.553260271474332e-05,2.0641969970107607e-19,1.553260271474332e-05
45,C11,1.234,0.16625,1.659422518914699e-06,8.854312900162857e-22,3.318845037829397e-05,8.854312900162857e-20,3.318845037829397e-05
46,C11,1.234,0.18175,6.016342979405931e-07,1.9650768828189032e-22,1.2032685958811862e-05,1.965076882818903e-20,1.2032685958811862e-05
47,C11,1.234,0.19725,1.67710562125856e-06,5.535595532977789e-24,3.3542112425171195e-05,5.535595532977789e-22,3.3542112425171195e-05
48,C11,1.27,0.11975,1.0694186379727909e-07,5.1231349987770676e-21,2.138837275945582e-06,5.123134998777067e-19,2.138837275945582e-06
49,C11,1.27,0.13525,2.5779045267625425e-07,4.1098708266394586e-21,5.1558090535250846e-06,4.1098708266394584e-19,5.1558090535250846e-06
0,C11,1.27,0.15075,1.226987651409106e-06,2.773039203087279e-21,2.4539753028182118e-05,2.773039203087279e-19,2.4539753028182118e-05
1,C11,1.27,0.16625,1.0416959914020828e-06,1.532167492091523e-21,2.0833919828041655e-05,1.532167492091523e-19,2.0833919828041655e-05
2,C11,1.27,0.18175,1.268155966684465e-06,6.302067463275516e-22,2.53631193336893e-05,6.302067463275515e-20,2.53631193336893e-05
3,C11,1.27,0.19725,7.264176721581985e-07,9.0308244424283e-23,1.452835344316397e-05,9.0308244424283e-21,1.452835344316397e-05
4,C11,1.306,0.11975,5.980302045996249e-07,5.5758150195151835e-21,1.1960604091992497e-05,5.575815019515183e-19,1.1960604091992497e-05
5,C11,1.306,0.13525,6.053731746726344e-07,4.760436988838666e-21,1.2107463493452688e-05,4.760436988838666e-19,1.2107463493452688e-05
6,C11,1.306,0.15075,3.65976949478496e-07,3.525147310461935e-21,7.31953898956992e-06,3.5251473104619347e-19,7.31953898956992e-06
